Year,Mean Glacier Mass,Mean Global Temp,Total Co2 Emission,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita,Glob,NHem,SHem
1975,-10.534,0.0034,4596,604,2132,1673,95,92,1.13,-0.01,-0.05,0.02
1976,-10.633,-0.0792,4864,630,2314,1710,103,108,1.18,-0.1,-0.21,0.01
1977,-10.682,0.1978,5026,650,2398,1765,108,104,1.19,0.18,0.12,0.24
1978,-10.754,0.1123,5087,680,2392,1793,116,106,1.19,0.07,0.02,0.12
1979,-11.127,0.2273,5369,721,2544,1887,119,98,1.23,0.16,0.08,0.25
1980,-11.318,0.2637,5315,740,2422,1947,120,86,1.2,0.26,0.17,0.35
1981,-11.394,0.2999,5152,756,2289,1921,121,64,1.14,0.32,0.37,0.27
1982,-11.849,0.1815,5113,740,2196,1992,121,64,1.11,0.14,0.05,0.23
1983,-11.846,0.3411,5094,741,2176,1995,125,58,1.09,0.31,0.25,0.38
1984,-11.902,0.149,5280,808,2199,2094,128,51,1.11,0.16,0.04,0.27
1985,-12.238,0.1342,5439,837,2186,2237,131,49,1.12,0.12,0,0.23
1986,-12.782,0.2296,5607,831,2293,2300,137,46,1.14,0.18,0.13,0.23
1987,-12.795,0.3696,5752,894,2306,2364,143,44,1.15,0.32,0.25,0.41
1988,-13.26,0.3757,5965,937,2412,2414,152,50,1.17,0.39,0.37,0.4
1989,-13.343,0.297,6097,985,2459,2457,156,41,1.17,0.27,0.27,0.28
1990,-13.687,0.4328,6127,1019,2492,2419,157,40,1.16,0.45,0.53,0.37
1991,-14.255,0.4055,6217,1063,2605,2345,161,44,1.16,0.41,0.41,0.4
1992,-14.501,0.2571,6164,1095,2510,2357,167,35,1.13,0.22,0.14,0.31
1993,-14.695,0.2853,6162,1129,2523,2298,176,36,1.11,0.23,0.19,0.28
1994,-15.276,0.3409,6266,1139,2546,2358,186,38,1.11,0.31,0.37,0.26
1995,-15.486,0.4577,6398,1157,2565,2442,197,36,1.12,0.45,0.58,0.32
1996,-15.89,0.3228,6542,1209,2624,2469,203,37,1.13,0.33,0.27,0.39
1997,-16.487,0.5187,6651,1208,2700,2495,209,38,1.13,0.47,0.52,0.42
1998,-17.31,0.6344,6643,1243,2766,2391,209,35,1.12,0.61,0.71,0.52
1999,-17.697,0.4438,6610,1270,2737,2352,217,33,1.1,0.39,0.48,0.29
2000,-17.727,0.4262,6765,1288,2838,2367,226,45,1.11,0.4,0.5,0.29
2001,-18.032,0.5473,6927,1312,2840,2492,237,46,1.12,0.54,0.64,0.44
2002,-18.726,0.6023,6996,1344,2831,2521,252,48,1.12,0.63,0.72,0.54
2003,-19.984,0.6134,7416,1391,2959,2743,276,48,1.17,0.62,0.75,0.5
2004,-20.703,0.5783,7807,1437,3053,2967,298,53,1.21,0.54,0.66,0.43
2005,-21.405,0.6585,8093,1480,3076,3157,320,60,1.24,0.68,0.86,0.5
2006,-22.595,0.6125,8370,1525,3089,3339,356,61,1.27,0.64,0.82,0.46
2007,-23.255,0.61,8566,1572,3081,3464,382,68,1.28,0.66,0.86,0.47
2008,-23.776,0.5419,8783,1631,3122,3571,388,71,1.3,0.54,0.68,0.4
2009,-24.459,0.6367,8740,1585,3056,3620,413,66,1.28,0.66,0.73,0.59
2010,-25.158,0.7014,9167,1702,3114,3842,450,59,1.33,0.73,0.91,0.55
